pkg_id,ent_no,attr_no,class_id_int,entity,characteristic,class_uri
10.5066/F7833Q2V.0,1,6,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
10.5066/F7833Q2V.0,2,12,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
10.5066/F7833Q2V.0,2,13,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,15,2719,ecso:sample,oboe-characteristics:Count,http://purl.dataone.org/odo/ECSO_00002719
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,16,2719,ecso:sample,oboe-characteristics:Count,http://purl.dataone.org/odo/ECSO_00002719
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,1,2797,ecso:sampling_site,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002797
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,13,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
3bbdbc1b-efa5-4198-af95-37342a5e6559,3,2,2797,ecso:sampling_site,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002797
ark:/90135/q14x55sv/1/mrt-eml.xml,1,3,2001,ecso:wind,pato:direction,http://purl.dataone.org/odo/ECSO_00002001
ark:/90135/q1571903/2/mrt-eml.xml,1,1,2001,ecso:wind,pato:direction,http://purl.dataone.org/odo/ECSO_00002001
ark:/90135/q15x26ws/1/mrt-eml.xml,1,2,2003,ecso:rain,pato:intensity,http://purl.dataone.org/odo/ECSO_00002003
ark:/90135/q15x26ws/1/mrt-eml.xml,1,3,2005,ecso:hail,pato:intensity,http://purl.dataone.org/odo/ECSO_00002005
ark:/90135/q1610x80/1/mrt-eml.xml,1,1,2005,ecso:hail,pato:intensity,http://purl.dataone.org/odo/ECSO_00002005
ark:/90135/q17p8wct/1/mrt-eml.xml,1,3,2001,ecso:wind,pato:direction,http://purl.dataone.org/odo/ECSO_00002001
ark:/90135/q1930r39/1/mrt-eml.xml,1,5,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
ark:/90135/q1930r39/2/mrt-eml.xml,1,5,2891,ecso:species,oboe-characteristics:Name,http://purl.dataone.org/odo/ECSO_00002891
ark:/90135/q19k4866/1/mrt-eml.xml,1,3,2005,ecso:hail,pato:intensity,http://purl.dataone.org/odo/ECSO_00002005
ark:/90135/q19k4866/1/mrt-eml.xml,1,2,2003,ecso:rain,pato:intensity,http://purl.dataone.org/odo/ECSO_00002003
ark:/90135/q1cf9n23/1/mrt-eml.xml,1,3,2001,ecso:wind,pato:direction,http://purl.dataone.org/odo/ECSO_00002001
ark:/90135/q1db7zsr/1/mrt-eml.xml,1,3,2003,ecso:rain,pato:intensity,http://purl.dataone.org/odo/ECSO_00002003
ark:/90135/q1h41pd3/1/mrt-eml.xml,1,3,2001,ecso:wind,pato:direction,http://purl.dataone.org/odo/ECSO_00002001
ark:/90135/q1j38qg1/1/mrt-eml.xml,1,2,2003,ecso:rain,pato:intensity,http://purl.dataone.org/odo/ECSO_00002003
