pkg_id,ent_no,attr_no,class_id_int,entity,characteristic
10.5066/F7833Q2V.0,1,6,1193,ecso:species,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,8,1193,ecso:phenophase,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,10,1193,ecso:us_state,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,11,1193,ecso:genus,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,12,1193,ecso:species,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,13,1193,ecso:species,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,16,1193,ecso:phenophase,oboe-characteristics:Name
10.5066/F7833Q2V.0,3,2,1193,ecso:phenophase,oboe-characteristics:Name
10.5066/F7833Q2V.0,2,20,1200,ecso:animal,oboe-characteristics:VolumetricDensity
10.5066/F7833Q2V.0,2,9,"","",pato:elevation
10.5066/F7833Q2V.0,1,2,"","",""
10.5066/F7833Q2V.0,1,7,"","",""
10.5066/F7833Q2V.0,2,1,"","",""
10.5066/F7833Q2V.0,2,2,"","",""
10.5066/F7833Q2V.0,2,3,"","",""
10.5066/F7833Q2V.0,2,4,"","",""
10.5066/F7833Q2V.0,2,6,"","",""
10.5066/F7833Q2V.0,2,7,"","",""
10.5066/F7833Q2V.0,2,17,"","",""
10.5066/F7833Q2V.0,2,18,"","",""
10.5066/F7833Q2V.0,2,19,"","",""
10.5066/F7833Q2V.0,2,21,"","",""
10.5066/F7833Q2V.0,3,3,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,15,1188,ecso:sample,oboe-characteristics:Count
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,16,1188,ecso:sample,oboe-characteristics:Count
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,1,1193,ecso:sampling_site,oboe-characteristics:Name
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,12,1193,ecso:genus,oboe-characteristics:Name
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,13,1193,ecso:species,oboe-characteristics:Name
3bbdbc1b-efa5-4198-af95-37342a5e6559,3,2,1193,ecso:sampling_site,oboe-characteristics:Name
3bbdbc1b-efa5-4198-af95-37342a5e6559,1,1,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,1,2,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,1,3,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,1,4,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,2,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,3,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,4,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,5,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,6,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,7,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,8,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,9,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,10,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,11,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,14,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,17,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,18,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,2,19,"","",""
3bbdbc1b-efa5-4198-af95-37342a5e6559,3,1,"","",""
