Query_ID,Query_Fragment
q1_1,"aboveground net primary productivity"
q2_1,"heterotrophic" AND "soil respiration"
q2_2,"soil respiration"
q3_1,"carbon" AND "soil" AND "microb*"
q4_1,"carbon dioxide" AND "phytoplankton"
q5_1,"concentration" AND "bicarbonate" AND "carbonate" AND "carbon dioxide"
q6_1,"carbon dioxide" AND "soil" AND "release"
q7_1,"carbon dioxide" AND "grassland" AND "uptake"
q8_1,"methane AND release" AND "soil"
q9_1,"net primary productivity" AND "macroalgae"
q10_1,"carbon dioxide" AND "ocean absor*"
