"Test_Corpus_ID" "Query_ID" "SOLR_Index_Type" "Run_ID" "Ontology_Set_ID" "Precision" "Recall"
"To be added" "q10" "To be Added" "To be Added" "To be Added" "Not Applicable" "0"
"To be added" "q9" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q8" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q7" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q6" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q5" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q4" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q3" "To be Added" "To be Added" "To be Added" "Not Applicable" "Not Applicable"
"To be added" "q2" "To be Added" "To be Added" "To be Added" "Not Applicable" "0"
"To be added" "q1" "To be Added" "To be Added" "To be Added" "66.6666666666667" "66.6666666666667"
