"Dataset_ID","R_Time","D1_node","Query_ID","SOLR_Index_Type","Run_ID","Ontology_Set_ID"
"doi:10.5063/AA/gtg488d.4.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.291.43686",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.182.91790",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.182.73124",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.182.66012",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.182.66218",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.182.61195",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.186.53224",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.186.53272",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.206.53315",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.206.53380",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.206.52518",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.206.53441",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/206/183816",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/182/223026",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.205.58188",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.205.57234",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.205.58097",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/205/174934",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/205/159240",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.205.42494",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.205.42219",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.293.24467",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.290.29574",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.290.29056",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.5063/AA/iashton.7.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.289.65273",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.292.24407",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.292.24406",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.290.29048",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sev.182.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-cdr.56088.123",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/185/205949",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.185.80031",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.185.80100",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.185.79994",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.188.38573",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.188.38347",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.29.49019",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.185.79158",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/701/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/700/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.154.12",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/289/200308",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/289/238665",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.289.65738",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.289.65909",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.289.65734",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/253/157762",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/253/218076",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.270.50456",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.270.50818",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.270.48213",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.278.27632",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/155/195405",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/155/231985",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.52384",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.53052",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.53354",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.53279",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.53227",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/265/182590",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/272/190073",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.272.71246",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.37454",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.155.37665",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.231.31282",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.231.30606",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/231/160879",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/231/175203",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.231.29907",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.178.2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.154.9",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.154.6",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sgs.104.12",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.271.195007",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.271.50457",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.271.48214",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/154/17",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/156/194770",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.60400",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/156/244056",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.61293",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.61069",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.60316",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.58738",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.61239",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.61399",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.154.1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.58409",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.53390",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.156.58207",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/188/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.188.54581",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.188.53309",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.188.54119",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/188/242479",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/165/17",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.154.4",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.154.2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.154.5",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"doi:10.6073/AA/knb-lter-sgs.154.3",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/29/175390",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.29.61108",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.29.60450",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.29.49236",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.281.58927",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.281.53500",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/233/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-cdr/233/2",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.55741",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.56267",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.41537",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.56577",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.56691",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/176/178572",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/176/196271",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sev/176/233060",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.36588",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.37256",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.37938",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.41026",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.176.40805",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.281.53108",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.253.31166",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-sgs/530/1",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
"knb-lter-sev.267.72147",2016-03-28,"CN-Sanbox2","q1","metacat_ui",2016-03-28 11:47:22,"None"
